,brand,1300cc,1600cc,1800cc,2000cc,gt2000cc,elec,total
10,MASERATI,0,0,0,0,1,0,1
10,MAYBACH,0,0,0,0,0,0,0
10,MAZDA,1140,551,0,647,407,0,2745
10,MERCEDES BENZ,0,96,19,457,280,0,852
10,MG,0,525,104,25,0,0,654
10,MINI COOPER,0,23,0,54,0,0,77
10,MITSUBISHI,1215,1,4,6,1540,0,2766
10,MITSUOKA,0,0,0,0,0,0,0
10,NAZA,0,0,0,0,0,0,0
10,NISSAN,1519,164,22,247,351,0,2303
10,PERODUA,0,0,0,0,0,0,0
10,PEUGEOT,0,4,0,0,0,0,4
10,PORSCHE,0,0,0,19,52,0,71
10,PROTON,0,16,0,0,0,0,16
10,RADICAL,0,0,0,0,0,0,0
10,RANGE ROVER,0,0,0,0,2,0,2
10,ROLLS-ROYCE,0,0,0,0,0,0,0
10,ROVER,0,0,0,0,0,0,0
10,SAAB,0,0,0,0,0,0,0
10,SEAT,0,0,0,0,0,0,0
10,SKODA,0,0,0,0,0,0,0
10,SMART,0,0,0,0,0,0,0
10,SOKON,0,0,0,0,0,0,0
10,SSANGYONG,0,0,0,0,0,0,0
10,SUBARU,0,1,0,449,2,0,452
10,SUZUKI,1583,60,0,0,0,0,1643
10,TATA,0,0,0,0,4,0,4
10,TOYOTA,2457,2728,362,287,4083,0,9917
10,VOLKSWAGEN,0,1,0,3,0,0,4
10,VOLVO,0,12,0,58,1,0,71
10,WULING,0,0,0,0,0,0,0
11,ALFA ROMEO,0,0,0,0,0,0,0
11,ASTON MARTIN,0,0,0,0,0,0,0
11,AUDI,0,0,0,9,3,0,12
11,AUSTIN,0,0,0,0,0,0,0
11,BENTLEY,0,0,0,0,3,0,3
11,BMW,0,64,0,461,35,0,560
11,CADILLAC,0,0,0,0,0,0,0
11,CHERY,0,0,0,2,0,0,2
11,CHEVROLET,0,11,14,34,469,0,528
11,CHRYSLER,0,0,0,0,0,0,0
11,CITROEN,0,0,0,0,0,0,0
11,DAEWOO,0,0,0,0,0,0,0
11,DAIHATSU,0,0,0,0,0,0,0
11,DAIMLER,0,0,0,0,0,0,0
11,DFM,0,0,0,0,0,0,0
11,FERRARI,0,0,0,0,1,0,1
11,FIAT,0,0,0,0,0,0,0
11,FORD,4,211,0,9,1910,0,2134
11,GEELY,0,0,0,0,0,0,0
11,HINO,0,0,0,0,0,0,0
11,HOLDEN,0,0,0,0,0,0,0
11,HONDA,133,4203,2285,543,130,0,7294
11,HUMMER,0,0,0,0,0,0,0
11,HYUNDAI,0,0,3,1,28,0,32
11,ISUZU,0,0,0,2691,577,0,3268
11,JAGUAR,0,0,0,2,2,0,4
11,JEEP,0,0,0,0,1,0,1
11,KIA,0,2,0,2,0,0,4
11,LAMBORGHINI,0,0,0,0,4,0,4
11,LAND ROVER,0,0,0,0,0,0,0
11,LEXUS,0,0,1,11,48,0,60
11,LINCOLN,0,0,0,0,0,0,0
11,LOTUS,0,0,0,0,0,0,0
11,MASERATI,0,0,0,0,0,0,0
11,MAYBACH,0,0,0,0,0,0,0
11,MAZDA,1125,548,0,675,354,0,2702
11,MERCEDES BENZ,1,94,19,449,276,0,839
11,MG,0,456,99,19,0,0,574
11,MINI COOPER,0,27,0,48,0,0,75
11,MITSUBISHI,1185,1,5,9,1441,0,2641
11,MITSUOKA,0,0,0,0,0,0,0
11,NAZA,0,0,0,0,0,0,0
11,NISSAN,1499,164,24,209,342,0,2238
11,PERODUA,0,0,0,0,0,0,0
11,PEUGEOT,0,4,0,0,0,0,4
11,PORSCHE,0,0,0,23,37,0,60
11,PROTON,1,13,0,0,0,0,14
11,RADICAL,0,0,0,0,0,0,0
11,RANGE ROVER,0,0,0,0,2,0,2
11,ROLLS-ROYCE,0,0,0,0,1,0,1
11,ROVER,0,0,0,0,0,0,0
11,SAAB,0,0,0,0,0,0,0
11,SEAT,0,0,0,0,0,0,0
11,SKODA,0,0,0,0,0,0,0
11,SMART,0,0,0,0,0,0,0
11,SOKON,0,0,0,0,0,0,0
11,SSANGYONG,0,0,0,0,0,0,0
11,SUBARU,0,3,0,342,1,0,346
11,SUZUKI,1438,60,0,1,0,0,1499
11,TATA,0,0,0,0,2,0,2
11,TOYOTA,2168,2490,342,293,4163,0,9456
11,VOLKSWAGEN,0,0,0,1,0,0,1
11,VOLVO,0,6,0,43,0,0,49
11,WULING,0,0,0,0,0,0,0
12,ALFA ROMEO,0,0,0,0,1,0,1
12,ASTON MARTIN,0,0,0,0,0,0,0
12,AUDI,0,0,0,7,2,0,9
12,AUSTIN,0,0,0,0,0,0,0
12,BENTLEY,0,0,0,0,1,0,1
12,BMW,0,40,0,269,19,0,328
12,CADILLAC,0,0,0,0,1,0,1
12,CHERY,0,0,0,0,0,0,0
12,CHEVROLET,0,4,24,18,283,0,329
12,CHRYSLER,0,0,0,0,0,0,0
12,CITROEN,0,0,0,0,0,0,0
12,DAEWOO,0,0,0,0,0,0,0
12,DAIHATSU,0,0,0,0,0,0,0
12,DAIMLER,0,0,0,0,0,0,0
12,DFM,0,0,0,0,0,0,0
12,FERRARI,0,0,0,0,3,0,3
12,FIAT,0,0,0,0,0,0,0
12,FORD,3,145,0,3,1411,0,1562
12,GEELY,0,0,0,0,0,0,0
12,HINO,0,0,0,0,0,0,0
12,HOLDEN,0,0,0,0,0,0,0
12,HONDA,118,2595,1340,348,85,0,4486
12,HUMMER,0,0,0,0,0,0,0
12,HYUNDAI,0,3,14,0,16,0,33
12,ISUZU,0,0,0,2056,522,0,2578
12,JAGUAR,0,0,0,1,1,0,2
12,JEEP,0,0,0,0,0,0,0
12,KIA,1,0,0,1,2,0,4
12,LAMBORGHINI,0,0,0,0,3,0,3
12,LAND ROVER,0,0,0,0,2,0,2
12,LEXUS,0,0,0,13,19,0,32
12,LINCOLN,0,0,0,0,0,0,0
12,LOTUS,0,0,0,0,1,0,1
12,MASERATI,0,0,0,0,0,0,0
12,MAYBACH,0,0,0,0,0,0,0
12,MAZDA,682,303,0,413,239,0,1637
12,MERCEDES BENZ,0,49,5,251,156,0,461
12,MG,0,260,64,11,0,0,335
12,MINI COOPER,0,21,0,35,0,0,56
12,MITSUBISHI,870,0,3,3,1085,0,1961
12,MITSUOKA,0,0,0,0,0,0,0
12,NAZA,1,0,0,0,0,0,1
12,NISSAN,1177,181,22,153,325,0,1858
12,PERODUA,0,0,0,0,0,0,0
12,PEUGEOT,0,2,0,0,0,0,2
12,PORSCHE,0,0,0,10,29,0,39
12,PROTON,0,6,0,0,0,0,6
12,RADICAL,0,0,0,0,0,0,0
12,RANGE ROVER,0,0,0,0,0,0,0
12,ROLLS-ROYCE,0,0,0,0,0,0,0
12,ROVER,0,0,0,0,0,0,0
12,SAAB,0,0,0,0,0,0,0
12,SEAT,0,0,0,0,0,0,0
12,SKODA,0,0,1,0,0,0,1
12,SMART,0,0,0,0,0,0,0
12,SOKON,0,0,0,0,0,0,0
12,SSANGYONG,0,0,0,0,0,0,0
12,SUBARU,0,2,0,161,3,0,166
12,SUZUKI,1043,54,0,0,0,0,1097
12,TATA,0,0,0,0,4,0,4
12,TOYOTA,1635,1908,681,198,3561,0,7983
12,VOLKSWAGEN,0,1,0,0,0,0,1
12,VOLVO,0,9,0,21,0,0,30
12,WULING,0,0,0,0,0,0,0
